Strigatreatment_selection,strigapest,plot_data_id,county
Soyabean,yellow_light,367,VIHIGA
Manure,yellow_light,368,VIHIGA
FarmerOwnPractice,red_light,369,VIHIGA
Desmodium,yellow_light,370,VIHIGA
Soyabean,yellow_light,371,VIHIGA
Manure,yellow_light,372,VIHIGA
FarmerOwnPractice,red_light,373,VIHIGA
Desmodium,yellow_light,374,VIHIGA
Soyabean,yellow_light,375,VIHIGA
Manure,yellow_light,376,VIHIGA
FarmerOwnPractice,red_light,377,VIHIGA
Desmodium,yellow_light,378,VIHIGA
Lablab,yellow_light,379,VIHIGA
Manure,yellow_light,380,VIHIGA
FarmerOwnPractice,red_light,381,VIHIGA
Desmodium,yellow_light,382,VIHIGA
Soyabean,yellow_light,383,VIHIGA
Manure,yellow_light,384,VIHIGA
FarmerOwnPractice,red_light,385,VIHIGA
Desmodium,red_light,386,VIHIGA
Soyabean,yellow_light,387,VIHIGA
Manure,yellow_light,388,VIHIGA
FarmerOwnPractice,red_light,389,VIHIGA
Desmodium,yellow_light,390,VIHIGA
Soyabean,yellow_light,391,VIHIGA
Manure,yellow_light,392,VIHIGA
Desmodium,yellow_light,393,VIHIGA
Soyabean,yellow_light,394,VIHIGA
Manure,yellow_light,395,VIHIGA
FarmerOwnPractice,yellow_light,396,VIHIGA
Desmodium,yellow_light,397,SIAYA
Lablab,yellow_light,398,SIAYA
Manure,yellow_light,399,SIAYA
Lablab,yellow_light,400,SIAYA
Soyabean,yellow_light,401,SIAYA
Manure,yellow_light,402,SIAYA
FarmerOwnPractice,yellow_light,403,SIAYA
Desmodium,yellow_light,404,VIHIGA
Lablab,yellow_light,405,VIHIGA
Manure,yellow_light,406,VIHIGA
FarmerOwnPractice,red_light,407,VIHIGA
Desmodium,yellow_light,408,VIHIGA
Lablab,green_light,409,VIHIGA
Manure,yellow_light,410,VIHIGA
FarmerOwnPractice,yellow_light,411,VIHIGA
Desmodium,yellow_light,412,VIHIGA
Soyabean,yellow_light,413,VIHIGA
FarmerOwnPractice,red_light,414,VIHIGA
Desmodium,yellow_light,415,VIHIGA
Soyabean,yellow_light,416,VIHIGA
Manure,yellow_light,417,VIHIGA
FarmerOwnPractice,red_light,418,VIHIGA
Desmodium,yellow_light,419,VIHIGA
Lablab,green_light,420,VIHIGA
Manure,yellow_light,421,VIHIGA
FarmerOwnPractice,yellow_light,422,VIHIGA
Desmodium,yellow_light,423,VIHIGA
Lablab,yellow_light,424,VIHIGA
Manure,yellow_light,425,VIHIGA
FarmerOwnPractice,red_light,426,VIHIGA
Desmodium,yellow_light,427,VIHIGA
Lablab,yellow_light,428,VIHIGA
Manure,yellow_light,429,VIHIGA
FarmerOwnPractice,red_light,430,VIHIGA
Desmodium,yellow_light,431,VIHIGA
Soyabean,yellow_light,432,VIHIGA
Manure,yellow_light,433,VIHIGA
FarmerOwnPractice,yellow_light,434,VIHIGA
Desmodium,yellow_light,435,VIHIGA
Lablab,green_light,436,VIHIGA
Manure,yellow_light,437,VIHIGA
FarmerOwnPractice,yellow_light,438,VIHIGA
Desmodium,yellow_light,439,VIHIGA
Soyabean,yellow_light,440,VIHIGA
Manure,yellow_light,441,VIHIGA
FarmerOwnPractice,red_light,442,VIHIGA
Desmodium,yellow_light,443,VIHIGA
Soyabean,yellow_light,444,VIHIGA
Manure,yellow_light,445,VIHIGA
FarmerOwnPractice,red_light,446,VIHIGA
Desmodium,yellow_light,447,VIHIGA
Soyabean,yellow_light,448,VIHIGA
Manure,yellow_light,449,VIHIGA
FarmerOwnPractice,red_light,450,VIHIGA
Desmodium,yellow_light,451,VIHIGA
Lablab,yellow_light,452,VIHIGA
Manure,yellow_light,453,VIHIGA
FarmerOwnPractice,red_light,454,VIHIGA
Desmodium,yellow_light,455,VIHIGA
Lablab,yellow_light,456,VIHIGA
Manure,yellow_light,457,VIHIGA
FarmerOwnPractice,yellow_light,458,VIHIGA
Desmodium,red_light,459,SIAYA
Lablab,red_light,460,SIAYA
Soyabean,red_light,461,SIAYA
Manure,red_light,462,SIAYA
Desmodium,red_light,463,SIAYA
Lablab,yellow_light,464,SIAYA
Soyabean,yellow_light,465,SIAYA
Manure,yellow_light,466,SIAYA
Desmodium,red_light,467,SIAYA
Lablab,yellow_light,468,SIAYA
Soyabean,yellow_light,469,SIAYA
Manure,yellow_light,470,SIAYA
Desmodium,yellow_light,471,VIHIGA
Lablab,yellow_light,472,VIHIGA
Manure,yellow_light,473,VIHIGA
FarmerOwnPractice,red_light,474,VIHIGA
Desmodium,yellow_light,475,VIHIGA
Lablab,yellow_light,476,VIHIGA
Manure,yellow_light,477,VIHIGA
FarmerOwnPractice,yellow_light,478,VIHIGA
